Mar 31 18:10:45 raspberrypi seqgen: Sequencer @ sec=0, msec=283
Mar 31 18:10:45 raspberrypi seqgen: Frame Sampler thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Time-stamp with Image Analysis thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Difference Image Proc thread @ sec=0, msec=284
Mar 31 18:10:45 raspberrypi seqgen: Time-stamp Image Save to File thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Processed Image Save to File thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Send Time-stamped Image to Remote thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: 10 sec Tick Debug thread @ sec=0, msec=285
Mar 31 18:10:45 raspberrypi seqgen: Sequencer thread @ sec=0, msec=285
Mar 31 18:11:08 raspberrypi seqgen: #012#011Execution Time for S1 = 17.591726
Mar 31 18:11:08 raspberrypi seqgen: #012#011Execution Time for S1 = 17.619019
Mar 31 18:11:09 raspberrypi seqgen: #012#011Execution Time for S2 = 75.549576
Mar 31 18:11:09 raspberrypi seqgen: #012#011Execution Time for S4 = 75.519318
Mar 31 18:11:09 raspberrypi seqgen: #012#011Execution Time for S1 = 75.541664
Mar 31 18:11:09 raspberrypi seqgen: #012#011Execution Time for S6 = 75.504059
Mar 31 18:11:09 raspberrypi seqgen: #012#011Execution Time for S5 = 30.605028
Mar 31 18:11:09 raspberrypi seqgen: #012#011Execution Time for S3 = 30.614923
Mar 31 18:11:09 raspberrypi seqgen: #012#011Execution Time for S1 = 17.588968
Mar 31 18:11:10 raspberrypi seqgen: #012#011Execution Time for S1 = 18.311380
Mar 31 18:11:10 raspberrypi seqgen: #012#011Execution Time for S2 = 75.500267
Mar 31 18:11:10 raspberrypi seqgen: #012#011Execution Time for S4 = 75.490738
Mar 31 18:11:10 raspberrypi seqgen: #012#011Execution Time for S1 = 75.516823
Mar 31 18:11:10 raspberrypi seqgen: #012#011Execution Time for S6 = 75.489120
Mar 31 18:11:10 raspberrypi seqgen: #012#011Execution Time for S1 = 18.422218
Mar 31 18:11:11 raspberrypi seqgen: #012#011Execution Time for S1 = 17.704287
Mar 31 18:11:11 raspberrypi seqgen: #012#011Execution Time for S6 = 37.766598
Mar 31 18:11:11 raspberrypi seqgen: #012#011Execution Time for S2 = 37.780712
Mar 31 18:11:11 raspberrypi seqgen: #012#011Execution Time for S1 = 37.779148
Mar 31 18:11:11 raspberrypi seqgen: #012#011Execution Time for S4 = 37.780972
Mar 31 18:11:11 raspberrypi seqgen: #012#011Execution Time for S3 = 39.898048
Mar 31 18:11:11 raspberrypi seqgen: #012#011Execution Time for S5 = 39.834347
Mar 31 18:11:11 raspberrypi seqgen: #012#011Execution Time for S1 = 33.664528
Mar 31 18:11:12 raspberrypi seqgen: #012#011Execution Time for S1 = 35.364201
Mar 31 18:11:12 raspberrypi seqgen: #012#011Execution Time for S2 = 75.783157
Mar 31 18:11:12 raspberrypi seqgen: #012#011Execution Time for S6 = 75.758781
Mar 31 18:11:12 raspberrypi seqgen: #012#011Execution Time for S1 = 75.780655
Mar 31 18:11:12 raspberrypi seqgen: #012#011Execution Time for S4 = 75.765762
Mar 31 18:11:12 raspberrypi seqgen: #012#011Execution Time for S1 = 17.606060
Mar 31 18:11:13 raspberrypi seqgen: #012#011Execution Time for S1 = 18.235968
Mar 31 18:11:13 raspberrypi seqgen: #012#011Execution Time for S1 = 75.506706
Mar 31 18:11:13 raspberrypi seqgen: #012#011Execution Time for S4 = 75.456543
Mar 31 18:11:13 raspberrypi seqgen: #012#011Execution Time for S6 = 75.459824
Mar 31 18:11:13 raspberrypi seqgen: #012#011Execution Time for S2 = 75.479050
Mar 31 18:11:13 raspberrypi seqgen: #012#011Execution Time for S5 = 32.468208
Mar 31 18:11:13 raspberrypi seqgen: #012#011Execution Time for S3 = 32.463577
Mar 31 18:11:13 raspberrypi seqgen: #012#011Execution Time for S1 = 17.588406
Mar 31 18:11:14 raspberrypi seqgen: #012#011Execution Time for S1 = 17.614605
Mar 31 18:11:14 raspberrypi seqgen: #012#011Execution Time for S6 = 75.766098
Mar 31 18:11:14 raspberrypi seqgen: #012#011Execution Time for S4 = 75.802139
Mar 31 18:11:14 raspberrypi seqgen: #012#011Execution Time for S2 = 75.794121
Mar 31 18:11:14 raspberrypi seqgen: #012#011Execution Time for S1 = 75.801247
Mar 31 18:11:14 raspberrypi seqgen: #012#011Execution Time for S1 = 17.589451
Mar 31 18:11:15 raspberrypi seqgen: #012#011Execution Time for S1 = 17.615335
Mar 31 18:11:15 raspberrypi seqgen: #012#011Execution Time for S6 = 74.090599
Mar 31 18:11:15 raspberrypi seqgen: #012#011Execution Time for S2 = 75.389954
Mar 31 18:11:15 raspberrypi seqgen: #012#011Execution Time for S1 = 75.397873
Mar 31 18:11:15 raspberrypi seqgen: #012#011Execution Time for S4 = 75.363495
Mar 31 18:11:15 raspberrypi seqgen: #012#011Execution Time for S5 = 61.418446
Mar 31 18:11:15 raspberrypi seqgen: #012#011Execution Time for S3 = 61.581833
Mar 31 18:11:15 raspberrypi seqgen: #012#011Execution Time for S7 = 61.579594
