Mar 31 18:21:40 raspberrypi seqgen2x: #012BEGIN LOG
Mar 31 18:21:40 raspberrypi seqgen2x: Frame Sampler thread @ sec=0, msec=129
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.479092
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.469925
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.702747
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701080
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.493156
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.514302
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.495864
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.461279
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S7 = 1.273925
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S3 = 1.310489
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S5 = 1.324240
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701185
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701914
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.482217
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.508104
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.492635
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.508312
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701393
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701081
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.475239
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.467634
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.483416
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.461748
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S5 = 1.023650
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S3 = 0.968022
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701341
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701029
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.484665
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.483259
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.491020
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.476592
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701237
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701237
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.568056
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.562952
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.550086
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.540502
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S3 = 0.985471
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S5 = 0.988804
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701393
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701705
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.543367
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.540555
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.536856
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.524199
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701080
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701081
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.484718
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.501750
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.504354
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.502063
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S5 = 0.966148
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S3 = 0.991252
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701341
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.702122
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.493833
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.499302
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.495500
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.482739
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701705
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701549
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 1.487166
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.486957
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S6 = 1.451018
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S4 = 1.475342
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S5 = 0.968804
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S3 = 0.930676
Mar 31 18:21:43 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701601
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S1 = 0.701184
Mar 31 18:21:44 raspberrypi seqgen2x: #012#011Execution Time for S2 = 1.498209
